Wordsin the spoken component 
__________________
Number	Word	Tag	Frequency
353	whatever dtq		2981
354	moment nn1		2943
355	case nn1		2916
356	times nn2		2915
357	work vvi		2894
358	important aj0		2886
359	twelve crd		2881
360	took vvd		2871
361	ask vvi		2868
362	water nn1		2854
363	god np0		2785
364	make vvb		2782
365	such dt0		2782
366	dad nn1		2777
367	everybody pni		2758
368	need vvi		2755
369	home av0		2742
370	wanted vvd		2738
371	already av0		2736
372	shall vm0		2735
373	am vbb		2732
374	most dt0		2707
375	together av0		2699
376	e zz0		2697
377	against prp		2684
378	back nn1		2683
379	s zz0		2683
380	john np0		2681
381	county nn1		2677
382	ago av0		2669
383	as prp-cjs		2664
384	over avp		2657
385	door nn1		2642
386	idea nn1		2616
387	suppose vvb		2615
388	minutes nn2		2611
389	within prp		2593
390	keep vvi		2571
391	anybody pni		2564
392	called vvn		2560
393	group nn1		2542
394	tell vvb		2542
395	person nn1		2527
396	wrong aj0		2527
397	o zz0		2519
398	world nn1		2519
399	t zz0		2510
400	enough av0		2488
401	working vvg		2484
402	only aj0		2479
403	try vvi		2462
404	let vvb		2456
405	aha itj		2448
406	said vvn		2434
407	home nn1		2433
408	tomorrow av0		2417
409	particular aj0		2403
410	pay vvi		2403
411	room nn1		2401
412	percent nn0		2398
413	lovely aj0		2394
414	before av0		2385
415	women nn2		2385
416	paper nn1		2380
417	taken vvn		2363
418	whole aj0		2361
419	without prp		2338
420	under prp		2336
421	party nn1		2332
422	down avp-prp		2329
423	looks vvz		2318
424	second ord		2307
425	men nn2		2303
426	policy nn1		2298
427	business nn1		2294
428	ai unc		2291
429	members nn2		2289
430	start vvi		2286
431	out avp-prp		2274
432	ha itj		2273
433	hello itj		2273
434	me dps		2272
435	remember vvb		2268
436	minute nn1		2263
437	problems nn2		2262
438	put vvn		2258
439	best ajs		2254
440	given vvn		2239
441	small aj0		2233
442	terms nn2		2232
443	taking vvg		2228
444	m zz0		2227
445	hand nn1		2216
446	word nn1		2202
447	eh itj		2184
448	months nn2		2183
449	top nn1		2172
450	book nn1		2166
451	stuff nn1		2161
452	told vvd		2151
453	full aj0		2137
454	making vvg		2136
455	fifteen crd		2134
456	feel vvb		2133
457	off prp-avp		2125
