Wordsin the spoken component 
__________________
Number	Word	Tag	Frequency
28978	multiples nn2		6
28979	multiplied vvd		6
28980	mundi np0		6
28981	munster np0		6
28982	mush vvb-nn1		6
28983	musical aj0-nn1		6
28984	muslims nn2		6
28985	muslin nn1		6
28986	mute aj0		6
28987	mutty np0		6
28988	mutt nn1		6
28989	mystique nn1		6
28990	nadine vvb-nn1		6
28991	nameless aj0		6
28992	naming nn1		6
28993	narrowed vvn		6
28994	nasa np0		6
28995	nasties nn2		6
28996	natives nn2		6
28997	nattering vvg		6
28998	nauseam unc		6
28999	nazareth np0		6
29000	near vvb		6
29001	neep nn1		6
29002	negate vvi		6
29003	negotiable aj0		6
29004	netted vvd		6
29005	newstat np0		6
29006	newts nn2		6
29007	next-door aj0		6
29008	nicked vvn-vvd		6
29009	nicks nn2		6
29010	night-time nn1		6
29011	nightdress nn1		6
29012	ninete unc		6
29013	ninety-eight crd		6
29014	nippy aj0		6
29015	ni nn2		6
29016	nod vvi		6
29017	noise nn1-vvb		6
29018	non-alcoholic aj0		6
29019	non-elected aj0		6
29020	non-linear aj0		6
29021	non-sexist aj0		6
29022	non-smokers nn2		6
29023	nonlinear aj0		6
29024	nonnie np0		6
29025	norah np0		6
29026	norma nn1-np0		6
29027	norma np0-nn1		6
29028	norm unc		6
29029	northfield np0		6
29030	nosed vvn		6
29031	nostalgic aj0		6
29032	nostrils nn2		6
29033	notes vvz		6
29034	nouveau unc		6
29035	novel aj0		6
29036	nuggets nn2		6
29037	numbered aj0-vvn		6
29038	nursed vvd		6
29039	o'connor np0		6
29040	oaks nn2		6
29041	oatmeal nn1		6
29042	obese aj0		6
29043	obeyed vvn		6
29044	objected vvd		6
29045	objector nn1		6
29046	obliging aj0		6
29047	oblique aj0		6
29048	oboe nn1		6
29049	obscured vvn		6
29050	obtained vvn-vvd		6
29051	octagon nn1		6
29052	odness np0-nn1		6
29053	oedipal aj0		6
29054	of av0		6
29055	oggy unc		6
29056	ohhhh itj		6
29057	oil nn1-vvb		6
29058	olivia np0		6
29059	omen nn1		6
29060	omits vvz		6
29061	omnibus nn1		6
29062	one-sided aj0		6
29063	one-to-one aj0		6
29064	ons nn2		6
29065	operatic aj0		6
29066	opposed vvd		6
29067	optician nn1		6
29068	orchestral aj0		6
29069	ordained aj0		6
29070	ordering vvg-nn1		6
29071	originate vvi		6
29072	ormond np0		6
29073	orphans nn2		6
29074	osborne np0		6
29075	ostrich nn1		6
29076	outlay nn1		6
29077	outlines vvz		6
29078	outright aj0		6
29079	outsides nn2		6
29080	ovation nn1		6
29081	over-provision nn1		6
29082	overdose nn1		6
29083	overdo vvi		6
29084	overgrown vvn		6
29085	overrun vvn		6
29086	oversee vvi		6
29087	overspill nn1		6
29088	overthrown vvn		6
29089	overwhelm vvi		6
29090	ove unc		6
29091	owed vvn-vvd		6
29092	oxen nn2		6
29093	oxy nn1		6
29094	oyez vvb-nn1		6
29095	p9 unc		6
29096	paddling vvg		6
29097	paediatric aj0		6
29098	painted aj0		6
29099	pairing nn1		6
29100	pair unc		6
29101	pall np0-nn1		6
29102	panacea nn1		6
29103	pandemonium nn1		6
29104	panelled aj0		6
29105	panting vvg		6
29106	parallel aj0-av0		6
29107	parasites nn2		6
29108	parasite nn1		6
29109	parcell np0		6
29110	pardon vvi		6
29111	parishioners nn2		6
29112	parker nn1		6
29113	parry np0		6
29114	parson nn1		6
29115	partake vvi		6
29116	parted vvn		6
29117	participant nn1		6
29118	participated vvd		6
29119	particular nn1-aj0		6
29120	partitions nn2		6
29121	partition nn1		6
29122	passers nn2		6
29123	pastures nn2		6
29124	pate nn1		6
29125	pathways nn2		6
29126	patriarchal aj0		6
29127	pausing vvg		6
29128	pave vvb		6
29129	pawn vvi		6
29130	pay-out nn1		6
29131	payback nn1		6
29132	payne np0		6
29133	peacefully av0		6
29134	peacock np0		6
29135	pearl np0		6
29136	pearsons np0		6
29137	peculiarities nn2		6
29138	peculiarly av0		6
29139	pedalling vvg		6
29140	peebleshire np0		6
29141	peeled vvn		6
29142	pegged vvn		6
29143	penge np0		6
29144	pennine np0		6
29145	perched vvn-aj0		6
29146	perch vvb		6
29147	percussion nn1		6
29148	perish vvi		6
29149	permed aj0-vvn		6
29150	permitting vvg		6
29151	perms nn2		6
29152	persian aj0		6
29153	persuasions nn2		6
29154	petroleum nn1		6
29155	pharmaceutical aj0		6
29156	phasing nn1-vvg		6
29157	philatelic aj0		6
29158	phi nn1		6
29159	phones nn2-vvz		6
29160	photocopied aj0-vvn		6
29161	photocopy nn1-vvb		6
29162	phrasing nn1		6
29163	phyl np0-nn1		6
29164	physician nn1		6
29165	physiotherapist nn1		6
29166	pickfords np0		6
29167	pick unc		6
29168	picnics nn2		6
29169	picture vvb		6
29170	pile vvi		6
29171	pinpoint vvi		6
29172	pipers np0		6
29173	piper np0		6
29174	piper np0-nn1		6
29175	pip np0-nn1		6
29176	pistols nn2		6
29177	planned vvd-vvn		6
29178	plan unc		6
29179	plating nn1		6
29180	pleading vvg-aj0		6
29181	pleaseth vvz		6
29182	pleas nn2		6
29183	pleats nn2		6
29184	pleck nn1-np0		6
29185	plotting vvg-aj0		6
29186	pod nn1		6
29187	poisons nn2		6
29188	poked vvd		6
29189	polaroid nn1		6
29190	policing vvg		6
29191	polish aj0-nn1		6
29192	pollen nn1		6
29193	pomp nn1		6
29194	pontius np0		6
29195	pooey nn1		6
29196	porky aj0		6
29197	portobello np0		6
29198	potable aj0		6
29199	pothole nn1		6
29200	potter vvi		6
29201	pot vvi		6
29202	powder nn1-vvb		6
29203	powers nn2-vvz		6
29204	practical aj0-nn1		6
29205	practise nn1		6
29206	praises nn2		6
29207	prattling vvg		6
29208	prat nn1-vvb		6
29209	pre-paid aj0		6
29210	pre-raphaelites nn2		6
29211	preaching vvg-aj0		6
29212	precedents nn2		6
29213	preceding aj0		6
29214	precept nn1		6
29215	precious av0		6
29216	predicted vvn-vvd		6
29217	preface nn1		6
29218	preferred vvn-aj0		6
29219	prejudicing vvg		6
29220	preparatory aj0		6
29221	prescribed vvn		6
29222	presenters nn2		6
29223	presents vvz-nn2		6
29224	pressure nn1-vvb		6
29225	prevails vvz		6
29226	preventive aj0		6
29227	priced vvn-aj0		6
29228	price vvb-nn1		6
29229	prima unc		6
29230	primmer np0		6
29231	prints vvz		6
29232	prioritize vvb		6
29233	privatised aj0		6
29234	privatized vvn		6
29235	privet nn1		6
29236	proba unc		6
29237	probe vvb		6
29238	proceeds vvz-nn2		6
29239	prod unc		6
29240	profiles nn2		6
29241	profit vvi		6
29242	proliferation nn1		6
29243	prologue nn1		6
29244	promises nn2-vvz		6
29245	promising aj0-vvg		6
29246	promising vvg-aj0		6
29247	prompting vvg		6
29248	prompt nn1-aj0		6
29249	prompt vvi		6
29250	pronounced aj0-vvn		6
29251	pronounced vvd		6
29252	prophetic aj0		6
29253	prosecuting aj0		6
29254	prospecting nn1-vvg		6
29255	prospect np0		6
29256	prosper vvi		6
29257	protector nn1		6
29258	protested vvn		6
29259	proverbial aj0		6
29260	provided vvd-vvn		6
29261	provost nn1		6
29262	provost np0		6
29263	psychic aj0		6
29264	psychocentric aj0		6
29265	pubes nn2		6
29266	pudsey np0		6
29267	puke vvi		6
29268	pullover nn1		6
29269	pulpit nn1		6
29270	pumped vvd		6
29271	pumping nn1		6
29272	pump vvb		6
29273	pump vvb-nn1		6
29274	punching vvg		6
29275	punch np0-nn1		6
29276	puncture vvi		6
29277	pup nn1		6
29278	qualifying nn1		6
29279	qualms nn2		6
29280	quarterly av0-aj0		6
29281	quasar nn1		6
29282	queen np0-nn1		6
29283	questioning nn1		6
29284	quiff nn1		6
29285	quix np0		6
29286	quoick nn1		6
29287	quotes nn2-vvz		6
29288	quotients nn2		6
29289	racemic aj0		6
29290	radials nn2		6
29291	raga nn1		6
29292	raggers nn2		6
29293	rallies nn2		6
29294	randall np0		6
29295	ranges nn2-vvz		6
29296	ranges vvz		6
29297	rarest ajs		6
29298	rash aj0-nn1		6
29299	rates nn2-vvz		6
29300	rationalize vvi		6
29301	raving vvg		6
29302	re-examination nn1		6
29303	re-sit nn1-vvb		6
29304	re-written vvn		6
29305	reaches vvz-nn2		6
29306	ready av0		6
29307	realised vvd-vvn		6
29308	reaping vvg		6
29309	reap vvi		6
29310	reasoned aj0		6
29311	rebates nn2		6
29312	rebellious aj0		6
29313	rebuilt vvn		6
29314	recalling vvg		6
29315	recalls vvz		6
29316	recessionary aj0		6
29317	recessions nn2		6
29318	recipients nn2		6
29319	recite vvi		6
29320	reclaimed vvn-aj0		6
29321	reclaim vvi		6
29322	recognized vvd-vvn		6
29323	recommended vvn-aj0		6
29324	reconciling vvg		6
29325	recoveries nn2		6
29326	recruiters nn2		6
29327	recruit vvb		6
29328	recycled vvn		6
29329	recycle vvb		6
29330	redeemer nn1		6
29331	redesign vvi		6
29332	redistribute vvi		6
29333	redoaks np0		6
29334	redo vvb		6
29335	reducing aj0		6
29336	reeve np0		6
29337	refill nn1		6
29338	reflexology nn1		6
29339	reformation nn1		6
29340	reform vvi		6
29341	refresh vvi		6
29342	refurbishing vvg		6
29343	refused vvd-vvn		6
29344	refute vvi		6
29345	reggae nn1		6
29346	registered aj0-vvd		6
29347	registered vvn-vvd		6
29348	registrations nn2		6
29349	regulate vvb		6
29350	reincarnation nn1		6
29351	reintroduce vvi		6
29352	rejoin vvi		6
29353	relaxes vvz		6
29354	relentless aj0		6
29355	relied vvd-vvn		6
29356	relieving vvg		6
29357	religiously av0		6
29358	relocate vvi		6
29359	relocations nn2		6
29360	remarks vvz		6
29361	remark nn1-vvb		6
29362	remembered vvn-vvd		6
29363	remits nn2		6
29364	rendered vvn		6
29365	renewed vvn		6
29366	rentakil np0		6
29367	repaired vvn-vvd		6
29368	repair vvb-nn1		6
29369	repeated vvd-vvn		6
29370	repent vvi		6
29371	replicated vvn		6
29372	repossessed vvn-aj0		6
29373	repressions nn2		6
29374	reproduces vvz		6
29375	reputed vvn		6
29376	rescued vvd		6
29377	rescue vvb-nn1		6
29378	resentful aj0		6
29379	reserved vvd		6
29380	reserved vvn		6
29381	resin nn1		6
29382	resisting vvg		6
29383	resisting vvg-aj0		6
29384	resolved vvn-vvd		6
29385	respite nn1		6
29386	responsibly av0		6
29387	restore vvb		6
29388	restrained vvn-aj0		6
29389	rests vvz		6
29390	results vvz-nn2		6
29391	resume vvb		6
29392	res nn2		6
29393	retained vvn-aj0		6
29394	retaliating vvg		6
29395	retaliation nn1		6
29396	reticulum nn1		6
29397	retrospectively av0		6
29398	returning nn1-aj0		6
29399	ret unc		6
29400	reunification nn1		6
29401	revamped aj0		6
29402	reverting vvg		6
29403	reviewed vvd		6
29404	revulsion nn1		6
29405	rewrite vvb		6
29406	rewritten vvn		6
29407	rhododendrons nn2		6
29408	rhythms nn2		6
29409	ribbed aj0		6
29410	richards np0		6
29411	rick nn1		6
29412	ridges nn2		6
29413	ridiculously av0		6
29414	rightio nn1		6
29415	rigidly av0		6
29416	rig nn1-vvb		6
29417	rig vvi		6
29418	ripples nn2		6
29419	ripple nn1		6
29420	rips vvz		6
29421	risk vvb-nn1		6
29422	ritz np0		6
29423	rival aj0		6
29424	rival nn1		6
29425	riverside np0-nn1		6
29426	roaming vvg		6
29427	roared vvd		6
29428	robbers nn2		6
29429	roberto np0		6
29430	robertson np0		6
29431	rob vvi		6
29432	roche np0		6
29433	rocking aj0		6
29434	rocking vvg-aj0		6
29435	rocky aj0		6
29436	rolling vvg-nn1		6
29437	romanies nn2		6
29438	roper np0		6
29439	rosyth np0		6
29440	rotarian aj0		6
29441	rounding vvg		6
29442	rounds nn2-vvz		6
29443	round vvb		6
29444	roving aj0		6
29445	rowan np0		6
29446	rowntrees np0		6
29447	roxy np0-nn1		6
29448	rozario nn1-np0		6
29449	ruddington np0		6
29450	rudyard np0		6
29451	ruined vvd-vvn		6
29452	ruled vvn-vvd		6
29453	runcorn np0		6
29454	rushden np0		6
29455	rye nn1		6
29456	s'pose vvb		6
29457	sacked vvn-aj0		6
29458	sacramental aj0		6
29459	sacrificial aj0		6
29460	saloon nn1		6
29461	saltpetre nn1		6
29462	sandbags nn2		6
29463	sanded vvn		6
29464	sandpaper nn1		6
29465	sanhedrin nn1		6
29466	sardinia np0		6
29467	sari nn1		6
29468	sarouac np0		6
29469	satisfied vvn		6
29470	satsuma nn1		6
29471	saucers nn2		6
29472	saville np0		6
29473	savoury nn1-aj0		6
29474	sawbridgeworth np0		6
29475	scanners nn2		6
29476	scan nn1-vvb		6
29477	scheduled aj0-vvn		6
29478	schooldays nn2		6
29479	schooling nn1-vvg		6
29480	scoop vvi		6
29481	scorers nn2		6
29482	scoring vvg-aj0		6
29483	scot nn1-np0		6
29484	scramble vvi		6
29485	scraper nn1		6
29486	scraping vvg		6
29487	screams nn2		6
29488	screening vvg-nn1		6
29489	screwed vvd-vvn		6
29490	scripture nn1-vvb		6
29491	scr unc		6
29492	searching vvg-aj0		6
29493	seated vvd		6
29494	seating vvg-nn1		6
29495	sediments nn2		6
29496	seedy aj0		6
29497	seed nn1-vvb		6
29498	see nn1-vvb		6
29499	seized vvn-vvd		6
29500	seize vvb		6
29501	selected vvd		6
29502	selectively av0		6
29503	self-confidence nn1		6
29504	self-governing aj0		6
29505	selfridges np0		6
29506	sellers np0		6
29507	sel unc		6
29508	semi-skilled aj0		6
29509	semolina nn1		6
29510	sensors nn2		6
29511	sentence nn1-vvb		6
29512	sequins nn2		6
29513	serena np0		6
29514	serial nn1		6
29515	serps np0		6
29516	servicemen nn2		6
29517	serviettes nn2		6
29518	serv unc		6
29519	sesame np0		6
29520	setback nn1		6
29521	settled aj0-vvn		6
29522	settled vvn-aj0		6
29523	settlers nn2		6
29524	settle vvb-nn1		6
29525	sewed vvd		6
29526	shabby aj0		6
29527	shadowy aj0		6
29528	shagged vvd		6
29529	shagged vvn		6
29530	shag vvb-nn1		6
29531	shampoos nn2		6
29532	shanty nn1		6
29533	shapers nn2		6
29534	shared aj0-vvn		6
29535	shares nn2-vvz		6
29536	sharing nn1-vvg		6
29537	sharpen vvb		6
29538	sharpness np0-nn1		6
29539	sheath nn1		6
29540	sheepskin nn1		6
29541	sheeps nn2		6
29542	shelly np0		6
29543	shenley np0		6
29544	shhh itj		6
29545	shifting nn1-aj0		6
29546	shits nn2		6
29547	shoemaker nn1		6
29548	shops nn2-vvz		6
29549	shores nn2		6
29550	shuffle nn1-vvb		6
29551	shu unc		6
29552	sian np0		6
29553	sicknesses nn2		6
29554	sidelines nn2		6
29555	sierra nn1		6
29556	sightseeing nn1		6
29557	sight nn1-vvb		6
29558	sigmund np0		6
29559	signatory nn1		6
29560	signet nn1		6
29561	silas np0		6
29562	silt nn1		6
29563	silver np0		6
29564	simplified aj0		6
29565	sip nn1		6
29566	sited vvn		6
29567	siting nn1		6
29568	sixty-four crd		6
29569	sixty-nine crd		6
29570	sizeable aj0		6
29571	sized aj0-vvn		6
29572	sized vvn-aj0		6
29573	sizewell np0		6
29574	sketchy aj0		6
29575	skidded vvd		6
29576	skied vvd		6
29577	skim vvi		6
29578	skipped vvd		6
29579	skipping nn1		6
29580	slack nn1		6
29581	slapper nn1		6
29582	slap vvb-nn1		6
29583	slender aj0		6
29584	slick aj0		6
29585	slimming nn1		6
29586	slimming vvg		6
29587	sling vvb		6
29588	sling vvb-nn1		6
29589	slowed vvd		6
29590	slowed vvn-vvd		6
29591	sluggish aj0		6
29592	small nn1		6
29593	sma unc		6
29594	smelled vvd		6
29595	smells nn2-vvz		6
29596	smiles vvz		6
29597	smiling aj0		6
29598	smocks nn2		6
29599	smoother ajc		6
29600	smooth vvi		6
29601	snip vvi		6
29602	snub nn1-vvb		6
29603	soaked aj0-vvn		6
29604	soapstone nn1		6
29605	sock nn1-vvb		6
29606	soham np0		6
29607	soldering nn1		6
29608	solitude nn1		6
29609	solomon np0		6
29610	solved vvn-aj0		6
29611	solvents nn2		6
29612	somewhat pni		6
29613	sommat nn1-vvb		6
29614	somme np0		6
29615	sonny np0		6
29616	sophistication nn1		6
29617	soprano nn1		6
29618	sorbet nn1		6
29619	sore aj0-nn1		6
29620	sottle np0-nn1		6
29621	sought vvd-vvn		6
29622	sounding nn1		6
29623	soundly av0		6
29624	soundtrack nn1		6
29625	soups nn2		6
29626	sovereign aj0		6
29627	sovereign aj0-nn1		6
29628	sovereign nn1		6
29629	spacers nn2		6
29630	space vvi		6
29631	spanners nn2		6
29632	spare nn1		6
29633	sparklers nn2		6
29634	spat vvd		6
29635	spat vvn		6
29636	speaking aj0-nn1		6
29637	spears nn2		6
29638	spear nn1		6
29639	specified vvd-vvn		6
29640	spectacles nn2		6
29641	speeds vvz		6
29642	speed vvb-nn1		6
29643	spelling vvg-nn1		6
29644	spells vvz-nn2		6
29645	spending nn1-aj0		6
29646	spills vvz		6
29647	spilt vvd-vvn		6
29648	spindly aj0		6
29649	spoiled vvn		6
29650	sponsored vvd		6
29651	sponsor vvb		6
29652	spool nn1		6
29653	spores nn2		6
29654	sporting aj0		6
29655	spotless aj0		6
29656	spo unc		6
29657	sprayer nn1		6
29658	spread vvd-vvn		6
29659	springing vvg		6
29660	springs vvz		6
29661	squared vvd		6
29662	squares nn2-vvz		6
29663	squashed vvn-aj0		6
29664	squeezed vvd		6
29665	squid nn0		6
29666	stabbing vvg		6
29667	stabilizer nn1		6
29668	stab nn1		6
29669	stacked vvn		6
29670	stack nn1-vvb		6
29671	staged vvn		6
29672	stage vvi		6
29673	staggered aj0		6
29674	stained aj0-vvn		6
29675	stained vvn-aj0		6
29676	stalk nn1		6
29677	stamped vvn		6
29678	starts vvz-nn2		6
29679	starving vvg-aj0		6
29680	star vvi		6
29681	stated vvd-vvn		6
29682	statesman nn1		6
29683	stationmaster nn1		6
29684	statutorily av0		6
29685	stat nn1-vvb		6
29686	staveley np0		6
29687	steelmaking nn1		6
29688	steeple nn1		6
29689	steeple np0		6
29690	stegosaurus nn1		6
29691	stems nn2		6
29692	stifle vvi		6
29693	still aj0-nn1		6
29694	stinging aj0		6
29695	stingy aj0		6
29696	sting np0		6
29697	stinky aj0		6
29698	stokenchurch np0-nn1		6
29699	stonework nn1		6
29700	stone np0-nn1		6
29701	stoppages nn2		6
29702	stoppage nn1		6
29703	stopper nn1		6
29704	stored aj0-vvn		6
29705	stores nn2-vvz		6
29706	store vvb		6
29707	store vvb-nn1		6
29708	straightened vvn		6
29709	straightforwardly av0		6
29710	stranded aj0-vvn		6
29711	strawberry np0		6
29712	strayed vvn		6
29713	straying vvg		6
29714	streaky aj0		6
29715	strengthen vvb		6
29716	stressed vvd		6
29717	stressed vvn-aj0		6
29718	stresses vvz		6
29719	stretchers nn2		6
29720	stretch vvb-nn1		6
29721	stricken aj0		6
29722	striking aj0-vvg		6
29723	stripped vvn-vvd		6
29724	stripping vvg-aj0		6
29725	strips nn2-vvz		6
29726	struggle vvb-nn1		6
29727	strung vvn-aj0		6
29728	stuffed vvd-vvn		6
29729	sub-contractors nn2		6
29730	sub-lets vvz		6
29731	subject aj0-nn1		6
29732	subsidising vvg		6
29733	subsidized vvn		6
29734	suburbia nn1		6
29735	succeeded vvn-vvd		6
29736	successors nn2		6
29737	sugar nn1-np0		6
29738	sukey np0		6
29739	sunbed nn1		6
29740	sunk vvn-aj0		6
29741	sunlust nn1		6
29742	superiors nn2		6
29743	superstition nn1		6
29744	supple aj0		6
29745	supplies vvz		6
29746	suppressed vvn		6
29747	surplus aj0		6
29748	surrender vvb-nn1		6
29749	surrounded vvd-vvn		6
29750	surrounds vvz		6
29751	surveyed vvd		6
29752	surveying aj0-nn1		6
29753	suspected vvn		6
29754	suspects vvz		6
29755	sustaining vvg		6
29756	suzie nn1-np0		6
29757	swallow nn1-vvb		6
29758	swamped vvn		6
29759	sweats nn2		6
29760	sweeps vvz		6
29761	sweep vvb		6
29762	swelling vvg		6
29763	sweltering aj0-vvg		6
29764	swe unc		6
29765	swift np0		6
29766	swot nn1		6
29767	sydenham np0		6
29768	syllabuses nn2		6
29769	syringe nn1		6
29770	sys unc		6
29771	s vbz		6
29772	tablecloths nn2		6
29773	tablecloth nn1		6
29774	table unc		6
29775	tabner nn1		6
29776	taboos nn2		6
29777	tackle vvb-nn1		6
29778	tack vvi		6
29779	taffy np0-nn1		6
29780	taking nn1		6
29781	tame aj0		6
29782	tangerines nn2		6
29783	tangerine aj0		6
29784	tankers nn2		6
29785	tannoy nn1		6
29786	tantrums nn2		6
29787	tassels nn2		6
29788	tats nn2		6
29789	tattoos nn2		6
29790	teasing vvg-aj0		6
29791	teeny aj0-nn1		6
29792	temperamental aj0		6
29793	temporal aj0		6
29794	tendon nn1		6
29795	tenpence nn1		6
29796	ten unc		6
29797	tern nn1		6
29798	terriers nn2		6
29799	terrified aj0-vvn		6
29800	terrifying vvg-aj0		6
29801	tessa nn1-np0		6
29802	tessa np0-nn1		6
29803	tester nn1		6
29804	testosterone nn1		6
29805	tetsworth np0		6
29806	textures nn2		6
29807	thanked vvn		6
29808	thatcherism nn1		6
29809	thelma nn1-np0		6
29810	theodore np0		6
29811	thereon av0		6
29812	thinkers nn2		6
29813	thinning vvg		6
29814	thins vvz		6
29815	thirst nn1		6
29816	thirty-nine crd		6
29817	thirty-three crd		6
29818	thirt unc		6
29819	thornfield np0		6
29820	thorns nn2		6
29821	thorny aj0		6
29822	threatened vvd-vvn		6
29823	three's crd		6
29824	three-quarters crd		6
29825	throttle nn1		6
29826	thugs nn2		6
29827	thumping vvg		6
29828	thundering vvg		6
29829	tigers nn2		6
29830	tight av0		6
29831	tikka nn1		6
29832	timed vvd		6
29833	tin nn1-vvb		6
29834	tipped vvd-vvn		6
29835	tired aj0-vvn		6
29836	tito np0		6
29837	todaro np0		6
29838	toenails nn2		6
29839	tog nn0		6
29840	tolerated vvn		6
29841	tollerton np0		6
29842	tone np0-nn1		6
29843	toothpaste vvb-nn1		6
29844	topping nn1		6
29845	topping vvg		6
29846	top vvb		6
29847	tornados nn2		6
29848	tor unc		6
29849	total vvb		6
29850	towed vvd		6
29851	towing vvg-aj0		6
29852	township nn1		6
29853	tow unc		6
29854	toying vvg		6
29855	tracer nn1		6
29856	tracing nn1		6
29857	tracing vvg		6
29858	trad unc		6
29859	trail vvi		6
29860	trait nn1		6
29861	tramped vvd		6
29862	tramping vvg		6
29863	tranche nn1		6
29864	transcriptions nn2		6
29865	transform vvi		6
29866	transpose vvi		6
29867	traumas nn2		6
29868	travelling nn1-aj0		6
29869	travels vvz-nn2		6
29870	travis np0		6
29871	trawler nn1		6
29872	trebled vvn		6
29873	treble nn1-aj0		6
29874	trebor np0		6
29875	trellis nn1		6
29876	tribes nn2		6
29877	tricked vvn		6
29878	trifle nn1-vvb		6
29879	trig nn1-vvb		6
29880	trim nn1		6
29881	trim nn1-vvb		6
29882	trio nn1		6
29883	tripe nn1		6
29884	triple nn1-aj0		6
29885	trivia nn1		6
29886	trod vvd		6
29887	trojan aj0		6
29888	troll nn1		6
29889	troublesome aj0		6
29890	troubles nn2-vvz		6
29891	truant aj0		6
29892	trundling vvg		6
29893	trusting vvg		6
29894	tucking vvg		6
29895	tuck nn1		6
29896	tuck nn1-vvb		6
29897	tues unc		6
29898	tulips nn2		6
29899	tunnel nn1-vvb		6
29900	turn-taking nn1		6
29901	turps nn1		6
29902	tweed nn1		6
29903	twent unc		6
29904	twill nn1		6
29905	twin aj0		6
29906	twisted vvn		6
29907	typed vvn-vvd		6
29908	type vvb		6
29909	u's zz0		6
29910	u-turns nn2		6
29911	uhuh nn1-np0		6
29912	unanimity nn1		6
29913	unblock vvi		6
29914	uncanny aj0		6
29915	unchallenged aj0		6
29916	unconscious nn1-aj0		6
29917	unconstrained aj0		6
29918	undercut vvi		6
29919	underestimate vvi		6
29920	underline vvb		6
29921	underlying aj0-vvg		6
29922	underpass nn1		6
29923	underpin vvi		6
29924	underprivileged aj0		6
29925	underside nn1		6
29926	underwood np0		6
29927	underwritten vvn		6
29928	uneven aj0		6
29929	unfamiliar aj0		6
29930	unforgivable aj0		6
29931	unhealthy aj0		6
29932	uniformed aj0		6
29933	unintentional aj0		6
29934	unloading vvg-aj0		6
29935	unlock vvb		6
29936	unmarked aj0		6
29937	unoccupied aj0		6
29938	unpacking vvg		6
29939	unpack vvi		6
29940	unprepared aj0		6
29941	unsigned aj0		6
29942	unsuccessfully av0		6
29943	unthinkable aj0		6
29944	unworkable aj0		6
29945	un np0		6
29946	updated vvn-vvd		6
29947	upgrading vvg		6
29948	upheld vvn		6
29949	uphill aj0		6
29950	uphold vvi		6
29951	uprisings nn2		6
29952	upsetting aj0		6
29953	upsetting vvg-aj0		6
29954	upsurge nn1		6
29955	urc nn1-np0		6
29956	urge nn1-vvb		6
29957	utilized vvn		6
29958	vacuum vvi		6
29959	valued aj0		6
29960	vanguard nn1		6
29961	variant nn1		6
29962	varied vvn		6
29963	vd nn1		6
29964	veers vvz		6
29965	vegan nn1		6
29966	vegetarians nn2		6
29967	vegetarian nn1		6
29968	veneer nn1		6
29969	venison nn1		6
29970	venn np0		6
29971	venom nn1		6
29972	ventured vvn		6
29973	vertebrates nn2		6
29974	vexed aj0		6
29975	victorians nn2		6
29976	videoing vvg		6
29977	vietcong np0		6
29978	viewpoints nn2		6
29979	vindictive aj0		6
29980	virtuous aj0		6
29981	visas nn2		6
29982	viscount nn1		6
29983	visits nn2-vvz		6
29984	visits vvz		6
29985	visualise vvi		6
29986	vociferous aj0		6
29987	volcanic aj0		6
29988	voter nn1		6
29989	vowed vvd		6
29990	vow nn1		6
29991	vu unc		6
29992	w's zz0		6
29993	waffles nn2		6
29994	wake nn1-vvb		6
29995	wanda np0		6
29996	wandering vvg-aj0		6
29997	wann vvb		6
29998	wanted aj0-vvd		6
29999	wanted vvd-aj0		6
30000	warm nn1		6
30001	warnock nn1		6
30002	warrants vvz		6
30003	wasteland nn1		6
30004	watered vvn-vvd		6
30005	watering nn1		6
30006	waved vvd-vvn		6
30007	waybill nn1		6
30008	weathers nn2		6
30009	weavers nn2		6
30010	weaving nn1-vvg		6
30011	weaving vvg		6
30012	weee unc		6
30013	weeping vvg-aj0		6
30014	weep vvi		6
30015	weigh-in nn1		6
30016	weighed vvn-vvd		6
30017	welding vvg		6
30018	welkom np0-nn1		6
30019	well-being nn1		6
30020	wellington np0-nn1		6
30021	well unc		6
30022	wes np0		6
30023	wetting vvg		6
30024	wet nn1		6
30025	whack vvi		6
30026	whales nn2		6
30027	wharf nn1		6
30028	what's-a-name nn1		6
30029	whats nn2		6
30030	wheeler np0		6
30031	wheel nn1-vvb		6
30032	wheel vvi		6
30033	wheey nn1-np0		6
30034	wheezing vvg		6
30035	whelks nn2		6
30036	wherefore av0		6
30037	whistles vvz		6
30038	whistling nn1		6
30039	whistling vvg-nn1		6
30040	whist nn1		6
30041	whiz vvi		6
30042	widening aj0-nn1		6
30043	widen vvb		6
30044	widnes np0		6
30045	wiggle vvb		6
30046	wild nn1		6
30047	wimborne np0		6
30048	wimpy np0-nn1		6
30049	winding aj0-vvg		6
30050	window nn1-vvb		6
30051	wiped vvn-vvd		6
30052	wisht itj		6
30053	witnessed vvd		6
30054	wobbling vvg-aj0		6
30055	wongy aj0		6
30056	wonka np0		6
30057	woodhouse np0		6
30058	woops itj		6
30059	wordprocessor nn1		6
30060	worthless aj0		6
30061	wound vvd-vvn		6
30062	wrap nn1		6
30063	wrap nn1-vvb		6
30064	wrecker nn1		6
30065	wreck nn1-vvb		6
30066	wriggle vvi		6
30067	writ vvn		6
30068	wymott np0		6
30069	y'are vvb-nn1		6
30070	yank nn1		6
30071	yap vvb-nn1		6
30072	yawning aj0-vvg		6
30073	yay itj		6
30074	yearly av0-aj0		6
30075	yes unc		6
30076	yolk nn1		6
30077	youngish aj0		6
