"","textnr","tokenindex","token"
"1","10",1,"When"
"2","10",2,"online"
"3","10",3,"file"
"4","10",4,"sharing"
"5","10",5,"programs"
"6","10",6,"emerged"
"7","10",7,"the"
"8","10",8,"music"
"9","10",9,"industry"
"10","10",10,"changed"
"11","10",11,"forever"
"12","10",12,"Perhaps"
"13","10",13,"the"
"14","10",14,"first"
"15","10",15,"widely"
"16","10",16,"used"
"17","10",17,"music"
"18","10",18,"file"
"19","10",19,"sharing"
"20","10",20,"program"
"21","10",21,"was"
"22","10",22,"Napster"
"23","10",23,"It"
"24","10",24,"allowed"
"25","10",25,"users"
"26","10",26,"to"
"27","10",27,"sign"
"28","10",28,"up"
"29","10",29,"to"
"30","10",30,"use"
"31","10",31,"the"
"32","10",32,"service"
"33","10",33,"at"
"34","10",34,"no"
"35","10",35,"charge"
"36","10",36,"Then"
"37","10",37,"they"
"38","10",38,"could"
"39","10",39,"download"
"40","10",40,"music"
"41","10",41,"files"
"42","10",42,"from"
"43","10",43,"other"
"44","10",44,"users"
"45","10",45,"all"
"46","10",46,"over"
"47","10",47,"the"
"48","10",48,"world"
"49","10",49,"by"
"50","10",50,"simply"
"51","10",51,"typing"
"52","10",52,"in"
"53","10",53,"what"
"54","10",54,"song"
"55","10",55,"or"
"56","10",56,"album"
"57","10",57,"they"
"58","10",58,"wanted"
"59","10",59,"Obviously"
"60","10",60,"this"
"61","10",61,"was"
"62","10",62,"bad"
"63","10",63,"news"
"64","10",64,"for"
"65","10",65,"music"
"66","10",66,"artists"
"67","10",67,"and"
"68","10",68,"record"
"69","10",69,"labels"
"70","10",70,"because"
"71","10",71,"they"
"72","10",72,"were"
"73","10",73,"not"
"74","10",74,"making"
"75","10",75,"any"
"76","10",76,"profits"
"77","10",77,"from"
"78","10",78,"downloaded"
"79","10",79,"music"
"80","10",80,"Eventually"
"81","10",81,"Napster"
"82","10",82,"was"
"83","10",83,"shut"
"84","10",84,"down"
"85","10",85,"While"
"86","10",86,"it"
"87","10",87,"later"
"88","10",88,"reinvented"
"89","10",89,"itself"
"90","10",90,"as"
"91","10",91,"a"
"92","10",92,"paying"
"93","10",93,"service"
"94","10",94,"other"
"95","10",95,"free"
"96","10",96,"music"
"97","10",97,"sharing"
"98","10",98,"sites"
"99","10",99,"cropped"
"100","10",100,"up"
"101","10",101,"almost"
"102","10",102,"immediately"
"103","10",103,"Even"
"104","10",104,"though"
"105","10",105,"several"
"106","10",106,"sites"
"107","10",107,"and"
"108","10",108,"individual"
"109","10",109,"users"
"110","10",110,"have"
"111","10",111,"been"
"112","10",112,"charged"
"113","10",113,"there"
"114","10",114,"are"
"115","10",115,"still"
"116","10",116,"countless"
"117","10",117,"individuals"
"118","10",118,"who"
"119","10",119,"log"
"120","10",120,"onto"
"121","10",121,"these"
"122","10",122,"sites"
"123","10",123,"to"
"124","10",124,"obtain"
"125","10",125,"free"
"126","10",126,"music"
