"","textnr","tokenindex","token"
"1","7",1,"A"
"2","7",2,"birds"
"3","7",3,"feathers"
"4","7",4,"are"
"5","7",5,"extremely"
"6","7",6,"important"
"7","7",7,"and"
"8","7",8,"when"
"9","7",9,"they"
"10","7",10,"clean"
"11","7",11,"and"
"12","7",12,"smooth"
"13","7",13,"them"
"14","7",14,"it"
"15","7",15,"is"
"16","7",16,"known"
"17","7",17,"as"
"18","7",18,"preening"
"19","7",19,"Birds"
"20","7",20,"in"
"21","7",21,"the"
"22","7",22,"wild"
"23","7",23,"preen"
"24","7",24,"their"
"25","7",25,"feathers"
"26","7",26,"on"
"27","7",27,"a"
"28","7",28,"regular"
"29","7",29,"basis"
"30","7",30,"This"
"31","7",31,"is"
"32","7",32,"true"
"33","7",33,"of"
"34","7",34,"most"
"35","7",35,"captive"
"36","7",36,"birds"
"37","7",37,"as"
"38","7",38,"well"
"39","7",39,"but"
"40","7",40,"not"
"41","7",41,"all"
"42","7",42,"For"
"43","7",43,"example"
"44","7",44,"some"
"45","7",45,"birds"
"46","7",46,"do"
"47","7",47,"not"
"48","7",48,"preen"
"49","7",49,"their"
"50","7",50,"feathers"
"51","7",51,"at"
"52","7",52,"all"
"53","7",53,"This"
"54","7",54,"problem"
"55","7",55,"is"
"56","7",56,"most"
"57","7",57,"common"
"58","7",58,"in"
"59","7",59,"birds"
"60","7",60,"that"
"61","7",61,"are"
"62","7",62,"taken"
"63","7",63,"from"
"64","7",64,"their"
"65","7",65,"mothers"
"66","7",66,"at"
"67","7",67,"a"
"68","7",68,"very"
"69","7",69,"young"
"70","7",70,"age"
"71","7",71,"Presumably"
"72","7",72,"the"
"73","7",73,"absence"
"74","7",74,"of"
"75","7",75,"preening"
"76","7",76,"is"
"77","7",77,"due"
"78","7",78,"to"
"79","7",79,"the"
"80","7",80,"fact"
"81","7",81,"that"
"82","7",82,"they"
"83","7",83,"were"
"84","7",84,"never"
"85","7",85,"shown"
"86","7",86,"how"
"87","7",87,"to"
"88","7",88,"do"
"89","7",89,"it"
"90","7",90,"properly"
"91","7",91,"A"
"92","7",92,"more"
"93","7",93,"common"
"94","7",94,"problem"
"95","7",95,"among"
"96","7",96,"captive"
"97","7",97,"birds"
"98","7",98,"is"
"99","7",99,"excessive"
"100","7",100,"preening"
"101","7",101,"Some"
"102","7",102,"birds"
"103","7",103,"may"
"104","7",104,"pull"
"105","7",105,"out"
"106","7",106,"large"
"107","7",107,"numbers"
"108","7",108,"of"
"109","7",109,"their"
"110","7",110,"feathers"
"111","7",111,"or"
"112","7",112,"bite"
"113","7",113,"them"
"114","7",114,"down"
"115","7",115,"to"
"116","7",116,"the"
"117","7",117,"skin"
"118","7",118,"It"
"119","7",119,"should"
"120","7",120,"be"
"121","7",121,"noted"
"122","7",122,"that"
"123","7",123,"wild"
"124","7",124,"birds"
"125","7",125,"never"
"126","7",126,"exhibit"
"127","7",127,"this"
"128","7",128,"kind"
"129","7",129,"of"
"130","7",130,"behavior"
"131","7",131,"There"
"132","7",132,"are"
"133","7",133,"several"
"134","7",134,"suggestions"
"135","7",135,"about"
"136","7",136,"how"
"137","7",137,"the"
"138","7",138,"problem"
"139","7",139,"of"
"140","7",140,"excessive"
"141","7",141,"preening"
"142","7",142,"can"
"143","7",143,"be"
"144","7",144,"solved"
"145","7",145,"such"
"146","7",146,"as"
"147","7",147,"giving"
"148","7",148,"birds"
"149","7",149,"baths"
"150","7",150,"or"
"151","7",151,"placing"
"152","7",152,"them"
"153","7",153,"in"
"154","7",154,"an"
"155","7",155,"area"
"156","7",156,"that"
"157","7",157,"has"
"158","7",158,"more"
"159","7",159,"activity"
"160","7",160,"to"
"161","7",161,"prevent"
"162","7",162,"boredom"
"163","7",163,"However"
"164","7",164,"these"
"165","7",165,"measures"
"166","7",166,"are"
"167","7",167,"often"
"168","7",168,"not"
"169","7",169,"sufficient"
"170","7",170,"to"
"171","7",171,"solve"
"172","7",172,"the"
"173","7",173,"problem"
