"","textnr","tokenindex","token"
"1","3",1,"The"
"2","3",2,"Amazon"
"3","3",3,"Rainforest"
"4","3",4,"is"
"5","3",5,"one"
"6","3",6,"of"
"7","3",7,"the"
"8","3",8,"most"
"9","3",9,"important"
"10","3",10,"ecosystems"
"11","3",11,"in"
"12","3",12,"the"
"13","3",13,"world"
"14","3",14,"However"
"15","3",15,"it"
"16","3",16,"is"
"17","3",17,"slowly"
"18","3",18,"being"
"19","3",19,"destroyed"
"20","3",20,"Areas"
"21","3",21,"of"
"22","3",22,"the"
"23","3",23,"rainforest"
"24","3",24,"are"
"25","3",25,"being"
"26","3",26,"cleared"
"27","3",27,"for"
"28","3",28,"farms"
"29","3",29,"and"
"30","3",30,"roads"
"31","3",31,"and"
"32","3",32,"much"
"33","3",33,"of"
"34","3",34,"the"
"35","3",35,"wood"
"36","3",36,"is"
"37","3",37,"also"
"38","3",38,"being"
"39","3",39,"harvested"
"40","3",40,"and"
"41","3",41,"sold"
"42","3",42,"There"
"43","3",43,"are"
"44","3",44,"several"
"45","3",45,"compelling"
"46","3",46,"reasons"
"47","3",47,"to"
"48","3",48,"protect"
"49","3",49,"this"
"50","3",50,"area"
"51","3",51,"First"
"52","3",52,"a"
"53","3",53,"significant"
"54","3",54,"number"
"55","3",55,"of"
"56","3",56,"pharmaceuticals"
"57","3",57,"are"
"58","3",58,"made"
"59","3",59,"from"
"60","3",60,"plants"
"61","3",61,"that"
"62","3",62,"have"
"63","3",63,"been"
"64","3",64,"discovered"
"65","3",65,"in"
"66","3",66,"the"
"67","3",67,"rainforest"
"68","3",68,"and"
"69","3",69,"its"
"70","3",70,"quite"
"71","3",71,"possible"
"72","3",72,"there"
"73","3",73,"are"
"74","3",74,"still"
"75","3",75,"important"
"76","3",76,"plants"
"77","3",77,"that"
"78","3",78,"have"
"79","3",79,"not"
"80","3",80,"yet"
"81","3",81,"been"
"82","3",82,"discovered"
"83","3",83,"Secondly"
"84","3",84,"the"
"85","3",85,"rainforest"
"86","3",86,"provides"
"87","3",87,"a"
"88","3",88,"significant"
"89","3",89,"portion"
"90","3",90,"of"
"91","3",91,"the"
"92","3",92,"worlds"
"93","3",93,"oxygen"
"94","3",94,"and"
"95","3",95,"also"
"96","3",96,"absorbs"
"97","3",97,"great"
"98","3",98,"amounts"
"99","3",99,"of"
"100","3",100,"carbon"
"101","3",101,"dioxide"
"102","3",102,"Without"
"103","3",103,"rainforests"
"104","3",104,"global"
"105","3",105,"warming"
"106","3",106,"could"
"107","3",107,"accelerate"
