,Unnamed: 0,textnr,tokenindex,token,vader_score,vader_polarity
0,1,6,1,Many,0.0,Neutral
1,2,6,2,people,0.0,Neutral
2,3,6,3,fail,-0.5423,Negative
3,4,6,4,to,0.0,Neutral
4,5,6,5,realize,0.0,Neutral
5,6,6,6,just,0.0,Neutral
6,7,6,7,how,0.0,Neutral
7,8,6,8,crucial,0.0,Neutral
8,9,6,9,getting,0.0,Neutral
9,10,6,10,a,0.0,Neutral
10,11,6,11,good,0.4404,Positive
11,12,6,12,nights,0.0,Neutral
12,13,6,13,sleep,0.0,Neutral
13,14,6,14,actually,0.0,Neutral
14,15,6,15,is,0.0,Neutral
15,16,6,16,It,0.0,Neutral
16,17,6,17,is,0.0,Neutral
17,18,6,18,usually,0.0,Neutral
18,19,6,19,suggested,0.0,Neutral
19,20,6,20,that,0.0,Neutral
20,21,6,21,adults,0.0,Neutral
21,22,6,22,get,0.0,Neutral
22,23,6,23,about,0.0,Neutral
23,24,6,24,seven,0.0,Neutral
24,25,6,25,hours,0.0,Neutral
25,26,6,26,of,0.0,Neutral
26,27,6,27,sleep,0.0,Neutral
27,28,6,28,every,0.0,Neutral
28,29,6,29,night,0.0,Neutral
29,30,6,30,and,0.0,Neutral
30,31,6,31,younger,0.0,Neutral
31,32,6,32,children,0.0,Neutral
32,33,6,33,should,0.0,Neutral
33,34,6,34,get,0.0,Neutral
34,35,6,35,even,0.0,Neutral
35,36,6,36,more,0.0,Neutral
36,37,6,37,Sleep,0.0,Neutral
37,38,6,38,has,0.0,Neutral
38,39,6,39,several,0.0,Neutral
39,40,6,40,benefits,0.3818,Positive
40,41,6,41,First,0.0,Neutral
41,42,6,42,it,0.0,Neutral
42,43,6,43,is,0.0,Neutral
43,44,6,44,believed,0.0,Neutral
44,45,6,45,to,0.0,Neutral
45,46,6,46,improve,0.4404,Positive
46,47,6,47,memory,0.0,Neutral
47,48,6,48,This,0.0,Neutral
48,49,6,49,is,0.0,Neutral
49,50,6,50,one,0.0,Neutral
50,51,6,51,reason,0.0,Neutral
51,52,6,52,why,0.0,Neutral
52,53,6,53,it,0.0,Neutral
53,54,6,54,is,0.0,Neutral
54,55,6,55,always,0.0,Neutral
55,56,6,56,preferable,0.0,Neutral
56,57,6,57,to,0.0,Neutral
57,58,6,58,sleep,0.0,Neutral
58,59,6,59,the,0.0,Neutral
59,60,6,60,night,0.0,Neutral
60,61,6,61,before,0.0,Neutral
61,62,6,62,a,0.0,Neutral
62,63,6,63,test,0.0,Neutral
63,64,6,64,rather,0.0,Neutral
64,65,6,65,than,0.0,Neutral
65,66,6,66,stay,0.0,Neutral
66,67,6,67,up,0.0,Neutral
67,68,6,68,for,0.0,Neutral
68,69,6,69,the,0.0,Neutral
69,70,6,70,entire,0.0,Neutral
70,71,6,71,night,0.0,Neutral
71,72,6,72,to,0.0,Neutral
72,73,6,73,review,0.0,Neutral
73,74,6,74,the,0.0,Neutral
74,75,6,75,information,0.0,Neutral
75,76,6,76,On,0.0,Neutral
76,77,6,77,a,0.0,Neutral
77,78,6,78,related,0.0,Neutral
78,79,6,79,note,0.0,Neutral
79,80,6,80,sleep,0.0,Neutral
80,81,6,81,also,0.0,Neutral
81,82,6,82,improves,0.4215,Positive
82,83,6,83,concentration,0.0,Neutral
