,Unnamed: 0,textnr,tokenindex,token,vader_score,vader_polarity
83,84,6,84,and,0.0,Neutral
84,85,6,85,mental,0.0,Neutral
85,86,6,86,alertness,0.0,Neutral
86,87,6,87,Those,0.0,Neutral
87,88,6,88,who,0.0,Neutral
88,89,6,89,get,0.0,Neutral
89,90,6,90,sufficient,0.0,Neutral
90,91,6,91,sleep,0.0,Neutral
91,92,6,92,are,0.0,Neutral
92,93,6,93,able,0.0,Neutral
93,94,6,94,to,0.0,Neutral
94,95,6,95,concentrate,0.0,Neutral
95,96,6,96,on,0.0,Neutral
96,97,6,97,work,0.0,Neutral
97,98,6,98,tasks,0.0,Neutral
98,99,6,99,better,0.4404,Positive
99,100,6,100,and,0.0,Neutral
100,101,6,101,also,0.0,Neutral
101,102,6,102,react,0.0,Neutral
102,103,6,103,faster,0.0,Neutral
103,104,6,104,when,0.0,Neutral
104,105,6,105,they,0.0,Neutral
105,106,6,106,are,0.0,Neutral
106,107,6,107,driving,0.0,Neutral
107,108,6,108,a,0.0,Neutral
108,109,6,109,car,0.0,Neutral
109,110,6,110,for,0.0,Neutral
110,111,6,111,example,0.0,Neutral
111,112,6,112,Finally,0.0,Neutral
112,113,6,113,people,0.0,Neutral
113,114,6,114,who,0.0,Neutral
114,115,6,115,get,0.0,Neutral
115,116,6,116,enough,0.0,Neutral
116,117,6,117,sleep,0.0,Neutral
117,118,6,118,have,0.0,Neutral
118,119,6,119,better,0.4404,Positive
119,120,6,120,immunity,0.0,Neutral
120,121,6,121,against,0.0,Neutral
121,122,6,122,illness,-0.4019,Negative
122,123,6,123,The,0.0,Neutral
123,124,6,124,reason,0.0,Neutral
124,125,6,125,for,0.0,Neutral
125,126,6,126,this,0.0,Neutral
126,127,6,127,is,0.0,Neutral
127,128,6,128,not,0.0,Neutral
128,129,6,129,fully,0.0,Neutral
129,130,6,130,understood,0.0,Neutral
130,131,6,131,but,0.0,Neutral
131,132,6,132,researchers,0.0,Neutral
132,133,6,133,believe,0.0,Neutral
133,134,6,134,that,0.0,Neutral
134,135,6,135,an,0.0,Neutral
135,136,6,136,increase,0.3182,Positive
136,137,6,137,in,0.0,Neutral
137,138,6,138,the,0.0,Neutral
138,139,6,139,production,0.0,Neutral
139,140,6,140,of,0.0,Neutral
140,141,6,141,growth,0.3818,Positive
141,142,6,142,hormone,0.0,Neutral
142,143,6,143,and,0.0,Neutral
143,144,6,144,melatonin,0.0,Neutral
144,145,6,145,plays,0.25,Positive
145,146,6,146,a,0.0,Neutral
146,147,6,147,role,0.0,Neutral
