"","textnr","tokenindex","token"
"1","6",1,"Many"
"2","6",2,"people"
"3","6",3,"fail"
"4","6",4,"to"
"5","6",5,"realize"
"6","6",6,"just"
"7","6",7,"how"
"8","6",8,"crucial"
"9","6",9,"getting"
"10","6",10,"a"
"11","6",11,"good"
"12","6",12,"nights"
"13","6",13,"sleep"
"14","6",14,"actually"
"15","6",15,"is"
"16","6",16,"It"
"17","6",17,"is"
"18","6",18,"usually"
"19","6",19,"suggested"
"20","6",20,"that"
"21","6",21,"adults"
"22","6",22,"get"
"23","6",23,"about"
"24","6",24,"seven"
"25","6",25,"hours"
"26","6",26,"of"
"27","6",27,"sleep"
"28","6",28,"every"
"29","6",29,"night"
"30","6",30,"and"
"31","6",31,"younger"
"32","6",32,"children"
"33","6",33,"should"
"34","6",34,"get"
"35","6",35,"even"
"36","6",36,"more"
"37","6",37,"Sleep"
"38","6",38,"has"
"39","6",39,"several"
"40","6",40,"benefits"
"41","6",41,"First"
"42","6",42,"it"
"43","6",43,"is"
"44","6",44,"believed"
"45","6",45,"to"
"46","6",46,"improve"
"47","6",47,"memory"
"48","6",48,"This"
"49","6",49,"is"
"50","6",50,"one"
"51","6",51,"reason"
"52","6",52,"why"
"53","6",53,"it"
"54","6",54,"is"
"55","6",55,"always"
"56","6",56,"preferable"
"57","6",57,"to"
"58","6",58,"sleep"
"59","6",59,"the"
"60","6",60,"night"
"61","6",61,"before"
"62","6",62,"a"
"63","6",63,"test"
"64","6",64,"rather"
"65","6",65,"than"
"66","6",66,"stay"
"67","6",67,"up"
"68","6",68,"for"
"69","6",69,"the"
"70","6",70,"entire"
"71","6",71,"night"
"72","6",72,"to"
"73","6",73,"review"
"74","6",74,"the"
"75","6",75,"information"
"76","6",76,"On"
"77","6",77,"a"
"78","6",78,"related"
"79","6",79,"note"
"80","6",80,"sleep"
"81","6",81,"also"
"82","6",82,"improves"
"83","6",83,"concentration"
"84","6",84,"and"
"85","6",85,"mental"
"86","6",86,"alertness"
"87","6",87,"Those"
"88","6",88,"who"
"89","6",89,"get"
"90","6",90,"sufficient"
"91","6",91,"sleep"
"92","6",92,"are"
"93","6",93,"able"
"94","6",94,"to"
"95","6",95,"concentrate"
"96","6",96,"on"
"97","6",97,"work"
"98","6",98,"tasks"
"99","6",99,"better"
"100","6",100,"and"
"101","6",101,"also"
"102","6",102,"react"
"103","6",103,"faster"
"104","6",104,"when"
"105","6",105,"they"
"106","6",106,"are"
"107","6",107,"driving"
"108","6",108,"a"
"109","6",109,"car"
"110","6",110,"for"
"111","6",111,"example"
"112","6",112,"Finally"
"113","6",113,"people"
"114","6",114,"who"
"115","6",115,"get"
"116","6",116,"enough"
"117","6",117,"sleep"
"118","6",118,"have"
"119","6",119,"better"
"120","6",120,"immunity"
"121","6",121,"against"
"122","6",122,"illness"
"123","6",123,"The"
"124","6",124,"reason"
"125","6",125,"for"
"126","6",126,"this"
"127","6",127,"is"
"128","6",128,"not"
"129","6",129,"fully"
"130","6",130,"understood"
"131","6",131,"but"
"132","6",132,"researchers"
"133","6",133,"believe"
"134","6",134,"that"
"135","6",135,"an"
"136","6",136,"increase"
"137","6",137,"in"
"138","6",138,"the"
"139","6",139,"production"
"140","6",140,"of"
"141","6",141,"growth"
"142","6",142,"hormone"
"143","6",143,"and"
"144","6",144,"melatonin"
"145","6",145,"plays"
"146","6",146,"a"
"147","6",147,"role"
